folds,YEAR,var,cimp
Resample02,2013,Tm_4,69.22907098805241
Resample02,2013,Rad_1,233.467910954369
Resample02,2013,Rad_2,24.702221732360485
Resample02,2013,Rad_3,174.8338383444387
Resample02,2013,Rad_4,42.95561105641042
Resample02,2013,vpd_pre,389.1606861421335
Resample02,2013,vpd_1,36.60293260808321
Resample02,2013,vpd_2,5.381806920615782
Resample02,2013,vpd_3,187.87739581925388
Resample02,2013,vpd_4,38.54089149030479
Resample02,2013,Q_1,-27.38929401483212
Resample02,2013,Q_2,108.20054920393478
Resample02,2013,Q_3,182.22753172274622
Resample02,2013,Q_4,126.5377222193341
Resample02,2013,YEAR,-204.9682529367527
Resample03,2010,TILL,691.2946220862473
Resample03,2010,FUNG,2027.3089728110374
Resample03,2010,INOC,1501.7998615506967
Resample03,2010,SOM,2211.307617376039
Resample03,2010,Clay,320.38359626741294
Resample03,2010,Silt,104.52256358110084
Resample03,2010,Sand,176.27269174591493
Resample03,2010,Pp_pre,523.3893650904007
Resample03,2010,Pp_1,530.5160294186985
Resample03,2010,Pp_2,27.51936322525813
Resample03,2010,Pp_3,688.2712863216362
Resample03,2010,Pp_4,378.9626529976685
Resample03,2010,SDI_pre,50.61388051512418
Resample03,2010,SDI_1,6.1175759949695205
Resample03,2010,SDI_2,227.24888558566832
Resample03,2010,SDI_3,189.46547407662555
Resample03,2010,SDI_4,241.12471079815413
Resample03,2010,AWDR_pre,149.89144799175818
Resample03,2010,AWDR_1,389.5512118602666
Resample03,2010,AWDR_2,221.50247480979394
Resample03,2010,AWDR_3,88.410534002567
Resample03,2010,AWDR_4,372.46726134370374
Resample03,2010,Tm_pre,160.41747441652404
Resample03,2010,Tm_1,-55.69777487517189
Resample03,2010,Tm_2,-106.94681934577821
Resample03,2010,Tm_3,25.5732844226039
Resample03,2010,Tm_4,320.2586947621006
Resample03,2010,Rad_1,146.65859846303675
Resample03,2010,Rad_2,163.95706899745653
Resample03,2010,Rad_3,392.4410392471272
Resample03,2010,Rad_4,179.08340837565862
Resample03,2010,vpd_pre,226.38742281022482
Resample03,2010,vpd_1,-37.18485121263366
Resample03,2010,vpd_2,168.72375181153475
Resample03,2010,vpd_3,-13.773895063981472
Resample03,2010,vpd_4,389.89633190029303
Resample03,2010,Q_1,38.99434901457396
Resample03,2010,Q_2,-62.511255343321245
Resample03,2010,Q_3,106.57487154493516
Resample03,2010,Q_4,55.06183533951611
Resample03,2010,YEAR,17.075213349715632
Resample04,2012,TILL,1542.9030003627456
Resample04,2012,FUNG,1635.1486137058582
Resample04,2012,INOC,4762.451356568434
Resample04,2012,SOM,1288.0399979661859
Resample04,2012,Clay,216.77681566198123
Resample04,2012,Silt,-115.74990027850261
Resample04,2012,Sand,-20.51139913533785
Resample04,2012,Pp_pre,545.7386482518768
Resample04,2012,Pp_1,572.2424880977135
Resample04,2012,Pp_2,365.5524456633968
Resample04,2012,Pp_3,214.72087215380424
Resample04,2012,Pp_4,353.09673045642063
Resample04,2012,SDI_pre,91.64360309082811
Resample04,2012,SDI_1,-41.224279876303044
Resample04,2012,SDI_2,46.827475572119
Resample04,2012,SDI_3,191.43033174632174
Resample04,2012,SDI_4,93.15517873882462
Resample04,2012,AWDR_pre,46.01710810964694
Resample04,2012,AWDR_1,316.97774081140346
Resample04,2012,AWDR_2,202.70542046348564
Resample04,2012,AWDR_3,-5.081422997248883
Resample04,2012,AWDR_4,692.6436617619084
Resample04,2012,Tm_pre,163.72244277823194
Resample04,2012,Tm_1,-47.602561299201625
Resample04,2012,Tm_2,12.435646019679261
Resample04,2012,Tm_3,123.63886020280916
Resample04,2012,Tm_4,-18.14572639383696
Resample04,2012,Rad_1,128.86662521094868
Resample04,2012,Rad_2,180.78003149005673
Resample04,2012,Rad_3,367.68794248385706
Resample04,2012,Rad_4,-15.30952318969532
Resample04,2012,vpd_pre,-66.9737530952983
Resample04,2012,vpd_1,233.03303998929943
Resample04,2012,vpd_2,81.74681970374805
Resample04,2012,vpd_3,44.99844556923257
Resample04,2012,vpd_4,221.6617302229893
Resample04,2012,Q_1,-1.7817133123788518
Resample04,2012,Q_2,27.19647198332794
Resample04,2012,Q_3,196.3496274333133
Resample04,2012,Q_4,-21.9410097894349
Resample04,2012,YEAR,-175.21418028531335
Resample05,2015,TILL,1177.4538094914626
Resample05,2015,FUNG,1715.3974668482635
Resample05,2015,INOC,3318.5627078630914
Resample05,2015,SOM,1691.5936618349756
Resample05,2015,Clay,441.52750881994757
Resample05,2015,Silt,40.24559724749939
Resample05,2015,Sand,568.279080328421
Resample05,2015,Pp_pre,405.2109934867296
Resample05,2015,Pp_1,427.2363782581169
Resample05,2015,Pp_2,-138.55017402936792
Resample05,2015,Pp_3,169.22946636868147
Resample05,2015,Pp_4,563.7996818952862
Resample05,2015,SDI_pre,157.24990483922593
Resample05,2015,SDI_1,-12.728589703403996
Resample05,2015,SDI_2,34.09813881822862
Resample05,2015,SDI_3,191.8939876394975
Resample05,2015,SDI_4,-8.624383771437278
Resample05,2015,AWDR_pre,157.02666007774533
Resample05,2015,AWDR_1,638.69405424556
Resample05,2015,AWDR_2,353.44800364227706
Resample05,2015,AWDR_3,38.68791243125219
Resample05,2015,AWDR_4,930.0032296100838
Resample05,2015,Tm_pre,48.754233788725685
Resample05,2015,Tm_1,64.24821897563787
Resample05,2015,Tm_2,153.7171883435073
Resample05,2015,Tm_3,56.229357663848496
Resample05,2015,Tm_4,200.40905181361012
Resample05,2015,Rad_1,153.06937525135842
Resample05,2015,Rad_2,155.2624934047903
Resample05,2015,Rad_3,516.1216737238132
Resample05,2015,Rad_4,42.36001167649578
Resample05,2015,vpd_pre,141.5031871392028
Resample05,2015,vpd_1,258.2947374462272
Resample05,2015,vpd_2,2.4636844144487986
Resample05,2015,vpd_3,-18.408956447691015
Resample05,2015,vpd_4,8.745332556264184
Resample05,2015,Q_1,18.55750336945639
Resample05,2015,Q_2,-25.99188754384726
Resample05,2015,Q_3,108.49695501775102
Resample05,2015,Q_4,15.365217329851294
Resample05,2015,YEAR,-303.0580783837751
Resample06,2016,TILL,494.7958182090224
Resample06,2016,FUNG,2780.6563115321565
Resample06,2016,INOC,2652.009465362001
Resample06,2016,SOM,1570.3289275140673
Resample06,2016,Clay,841.0125184764527
Resample06,2016,Silt,61.2619046054699
Resample06,2016,Sand,303.4767152631792
Resample06,2016,Pp_pre,97.35801801884634
Resample06,2016,Pp_1,187.05513208169899
Resample06,2016,Pp_2,88.30210640091042
Resample06,2016,Pp_3,563.6198204245497
Resample06,2016,Pp_4,911.9312470511381
Resample06,2016,SDI_pre,29.72247750041657
Resample06,2016,SDI_1,-72.44402575116314
Resample06,2016,SDI_2,15.451032907516637
Resample06,2016,SDI_3,316.24697666317456
Resample06,2016,SDI_4,206.23269461623423
Resample06,2016,AWDR_pre,178.61326613654762
Resample06,2016,AWDR_1,438.46885895850573
Resample06,2016,AWDR_2,-48.403222835399795
Resample06,2016,AWDR_3,373.95518490656946
Resample06,2016,AWDR_4,856.3624410605125
Resample06,2016,Tm_pre,-44.433264204630106
Resample06,2016,Tm_1,57.28962220495887
Resample06,2016,Tm_2,9.241790542416856
Resample06,2016,Tm_3,94.90381199986267
Resample06,2016,Tm_4,-10.695726257937203
