folds,YEAR,var,imp
Resample06,2016,AWDR_3,92836.44758046976
Resample06,2016,AWDR_4,38016.43380893434
Resample06,2016,Tm_pre,88720.24118746453
Resample06,2016,Tm_1,29099.744812832905
Resample06,2016,Tm_2,33428.40076480315
Resample06,2016,Tm_3,54022.000509406855
Resample06,2016,Tm_4,123113.64341074321
Resample06,2016,Rad_1,26547.158064078423
Resample06,2016,Rad_2,30871.27132968814
Resample06,2016,Rad_3,84675.78685002186
Resample06,2016,Rad_4,30451.107780619353
Resample06,2016,vpd_pre,97204.62316014818
Resample06,2016,vpd_1,42205.661872222954
Resample06,2016,vpd_2,31735.90068284138
Resample06,2016,vpd_3,42820.67753417044
Resample06,2016,vpd_4,62056.496670545195
Resample06,2016,Q_1,32432.93677428149
Resample06,2016,Q_2,35994.28029560758
Resample06,2016,Q_3,33656.72440465805
Resample06,2016,Q_4,39306.09492678469
Resample07,2017,TILL,7496.782730375382
Resample07,2017,FUNG,80253.65220639552
Resample07,2017,INOC,258672.0840087547
Resample07,2017,SOM,142812.66753657765
Resample07,2017,Clay,43470.60856130089
Resample07,2017,Silt,50549.97154313007
Resample07,2017,Sand,42794.59024085027
Resample07,2017,Pp_pre,29948.904827771235
Resample07,2017,Pp_1,26860.091745191767
Resample07,2017,Pp_2,35684.714150639316
Resample07,2017,Pp_3,74124.27600984983
Resample07,2017,Pp_4,32916.55778517111
Resample07,2017,SDI_pre,32067.384384553763
Resample07,2017,SDI_1,32124.379238494832
Resample07,2017,SDI_2,81646.32129467592
Resample07,2017,SDI_3,41276.33434194057
Resample07,2017,SDI_4,29501.46312711354
Resample07,2017,AWDR_pre,21323.12015140674
Resample07,2017,AWDR_1,52800.758052580124
Resample07,2017,AWDR_2,56191.49425703054
Resample07,2017,AWDR_3,93470.86485650699
Resample07,2017,AWDR_4,38594.105451829244
Resample07,2017,Tm_pre,72684.86405392412
Resample07,2017,Tm_1,32524.49571518906
Resample07,2017,Tm_2,43807.68611328996
Resample07,2017,Tm_3,51841.423352393176
Resample07,2017,Tm_4,114053.33553868622
Resample07,2017,Rad_1,27252.58610205706
Resample07,2017,Rad_2,24827.283047152523
Resample07,2017,Rad_3,95415.22959487494
Resample07,2017,Rad_4,31520.436133563762
Resample07,2017,vpd_pre,97596.54409012587
Resample07,2017,vpd_1,38248.173267508304
Resample07,2017,vpd_2,38874.13384037982
Resample07,2017,vpd_3,44180.15838554852
Resample07,2017,vpd_4,65095.37504805448
Resample07,2017,Q_1,31075.798324613992
Resample07,2017,Q_2,34106.90174024649
Resample07,2017,Q_3,39081.55195318323
Resample07,2017,Q_4,39338.57424170358
Resample08,2019,TILL,8738.657840420097
Resample08,2019,FUNG,72844.75788955344
Resample08,2019,INOC,245085.17942645052
Resample08,2019,SOM,148660.7954225542
Resample08,2019,Clay,47479.78563706001
Resample08,2019,Silt,49803.99848234759
Resample08,2019,Sand,47167.48752029057
Resample08,2019,Pp_pre,32459.64572238833
Resample08,2019,Pp_1,31844.8649259825
Resample08,2019,Pp_2,38027.39978207095
Resample08,2019,Pp_3,92350.54965806572
Resample08,2019,Pp_4,50254.20608456108
Resample08,2019,SDI_pre,34103.76612426612
Resample08,2019,SDI_1,31946.113804608915
Resample08,2019,SDI_2,86697.3216246376
Resample08,2019,SDI_3,43229.83507472914
Resample08,2019,SDI_4,31254.34086260288
Resample08,2019,AWDR_pre,24330.207526237053
Resample08,2019,AWDR_1,38734.841272473226
Resample08,2019,AWDR_2,50292.89538109013
Resample08,2019,AWDR_3,95395.07391743088
Resample08,2019,AWDR_4,33042.344378438924
Resample08,2019,Tm_pre,75008.86922168585
Resample08,2019,Tm_1,29376.718268018736
Resample08,2019,Tm_2,37254.60636444246
Resample08,2019,Tm_3,57649.144491158266
Resample08,2019,Tm_4,121593.46786561016
Resample08,2019,Rad_1,34380.59522581222
Resample08,2019,Rad_2,28947.22049592861
Resample08,2019,Rad_3,96320.40135726698
Resample08,2019,Rad_4,37214.50659765014
Resample08,2019,vpd_pre,98800.2949563921
Resample08,2019,vpd_1,38785.892980229044
Resample08,2019,vpd_2,33194.70451487952
Resample08,2019,vpd_3,42608.497645791365
Resample08,2019,vpd_4,68743.0562547125
Resample08,2019,Q_1,32454.383607383006
Resample08,2019,Q_2,36437.304542374564
Resample08,2019,Q_3,33521.587905134256
Resample08,2019,Q_4,46547.605778898986
Resample09,2014,TILL,9664.130531562476
Resample09,2014,FUNG,74269.50087187276
Resample09,2014,INOC,261579.59039742366
Resample09,2014,SOM,143761.4973202776
Resample09,2014,Clay,47816.38370759137
Resample09,2014,Silt,47579.49306811081
Resample09,2014,Sand,49449.48822543265
Resample09,2014,Pp_pre,33053.74121775095
Resample09,2014,Pp_1,30553.90486503421
Resample09,2014,Pp_2,38012.997796604286
Resample09,2014,Pp_3,79442.10954446574
Resample09,2014,Pp_4,36258.60032871119
Resample09,2014,SDI_pre,28395.442115085087
Resample09,2014,SDI_1,31014.53073499538
Resample09,2014,SDI_2,82886.25386860182
Resample09,2014,SDI_3,38535.71553792027
Resample09,2014,SDI_4,27763.993680074356
Resample09,2014,AWDR_pre,24312.751950632584
Resample09,2014,AWDR_1,45170.20781725785
Resample09,2014,AWDR_2,50133.754514203385
Resample09,2014,AWDR_3,91346.03760400665
Resample09,2014,AWDR_4,41681.522124270596
Resample09,2014,Tm_pre,78633.62001050526
Resample09,2014,Tm_1,30518.27587323951
Resample09,2014,Tm_2,42187.85124120317
Resample09,2014,Tm_3,55459.574526479024
Resample09,2014,Tm_4,117161.34906379036
Resample09,2014,Rad_1,27763.179973246228
Resample09,2014,Rad_2,26889.89231959749
Resample09,2014,Rad_3,95779.02664720788
Resample09,2014,Rad_4,33340.098610409514
Resample09,2014,vpd_pre,92100.74189811299
Resample09,2014,vpd_1,39136.81381040083
Resample09,2014,vpd_2,33991.442327188204
Resample09,2014,vpd_3,46210.49800677375
Resample09,2014,vpd_4,60717.44700834196
Resample09,2014,Q_1,30378.966242690785
Resample09,2014,Q_2,41660.73631915698
Resample09,2014,Q_3,34609.72066846006
Resample09,2014,Q_4,40774.71700276908
Resample10,2018,TILL,8369.08312989239
Resample10,2018,FUNG,72226.87775600259
Resample10,2018,INOC,232167.40404312027
Resample10,2018,SOM,132202.25332715685
Resample10,2018,Clay,60652.602382686884
Resample10,2018,Silt,49145.601155371514
Resample10,2018,Sand,51884.392896295394
Resample10,2018,Pp_pre,33586.229048554465
Resample10,2018,Pp_1,31509.59608974283
Resample10,2018,Pp_2,35558.30443426009
Resample10,2018,Pp_3,83197.40174574926
Resample10,2018,Pp_4,38233.444543703416
Resample10,2018,SDI_pre,27736.599345369214
Resample10,2018,SDI_1,32927.87331077606
Resample10,2018,SDI_2,77958.42383596352
Resample10,2018,SDI_3,38584.95683355923
Resample10,2018,SDI_4,26832.03731947215
Resample10,2018,AWDR_pre,24907.16555098837
Resample10,2018,AWDR_1,47367.94263127597
Resample10,2018,AWDR_2,50733.12453110013
Resample10,2018,AWDR_3,95069.69762682596
Resample10,2018,AWDR_4,41931.23858382947
Resample10,2018,Tm_pre,76550.42554287787
Resample10,2018,Tm_1,32599.204845316108
Resample10,2018,Tm_2,39367.89422964012
Resample10,2018,Tm_3,58412.562623103746
Resample10,2018,Tm_4,132995.46776351647
Resample10,2018,Rad_1,27044.55672005812
Resample10,2018,Rad_2,27726.940028846035
Resample10,2018,Rad_3,86444.55676747965
Resample10,2018,Rad_4,33158.408132766985
Resample10,2018,vpd_pre,87572.39270509701
Resample10,2018,vpd_1,39764.2530053129
Resample10,2018,vpd_2,36599.51896435459
Resample10,2018,vpd_3,41556.955240905074
Resample10,2018,vpd_4,67194.20400517392
Resample10,2018,Q_1,33229.61888392057
Resample10,2018,Q_2,40854.43089106928
Resample10,2018,Q_3,30115.354034818723
Resample10,2018,Q_4,42698.45330772508
